date,cloud,weather,visibility_km,solar,temperature_c,rainfall_mm,snowfall_cm,snowdepth_cm,sunshine_hours,windspeed_ms,wind_direction,
1985/1/2 1:00,,,,,,0,,,,,,
1985/1/2 2:00,,,,,,0,,,,,,
1985/1/2 3:00,0,,,,2.2,0,,,,4,ñkñkêº,
1985/1/2 4:00,,,,,,0,,,,,,
1985/1/2 5:00,,,,,,0,,,,,,
1985/1/2 6:00,0,,,,1.8,0,,,,2.7,ñkñkêº,
1985/1/2 7:00,,,,,,0,,,,,,
1985/1/2 8:00,,,,,,0,,,,,,
1985/1/2 9:00,0+,,,,3.1,0,,,,4,ñk,
1985/1/2 10:00,,,,,,0,,,,,,
1985/1/2 11:00,,,,,,0,,,,,,
1985/1/2 12:00,2,,,,8.9,0,,,,4.6,ñkñkêº,
1985/1/2 13:00,,,,,,0,,,,,,
1985/1/2 14:00,,,,,,0,,,,,,
1985/1/2 15:00,0+,,,,9,0,,,,4.9,ñkêº,
1985/1/2 16:00,,,,,,0,,,,,,
1985/1/2 17:00,,,,,,0,,,,,,
1985/1/2 18:00,1,,,,7,0,,,,2.8,ñkñkêº,
1985/1/2 19:00,,,,,,0,,,,,,
1985/1/2 20:00,,,,,,0,,,,,,
1985/1/2 21:00,10-,,,,5.1,0,,,,3.3,ñkñkêº,
1985/1/2 22:00,,,,,,0,,,,,,
1985/1/2 23:00,,,,,,0,,,,,,
1985/1/3 0:00,10,,,,4,0,,,,4.1,ñkñkêº,
1986/1/2 1:00,,,,,,0,,,,,,
1986/1/2 2:00,,,,,,0,,,,,,
1986/1/2 3:00,10,,,,6.2,0,,,,4,ñkñkêº,
1986/1/2 4:00,,,,,,0,,,,,,
1986/1/2 5:00,,,,,,0,,,,,,
1986/1/2 6:00,10-,,,,5,0,,,,3.2,ñk,
1986/1/2 7:00,,,,,,0,,,,,,
1986/1/2 8:00,,,,,,0,,,,,,
1986/1/2 9:00,0+,,,,6.2,0,,,,3.9,ñkñkêº,
1986/1/2 10:00,,,,,,0,,,,,,
1986/1/2 11:00,,,,,,0,,,,,,
1986/1/2 12:00,1,,,,9.4,0,,,,2,êºñkêº,
1986/1/2 13:00,,,,,,0,,,,,,
1986/1/2 14:00,,,,,,0,,,,,,
1986/1/2 15:00,10-,,,,8.9,0,,,,3.1,ñkêº,
1986/1/2 16:00,,,,,,0,,,,,,
1986/1/2 17:00,,,,,,0,,,,,,
1986/1/2 18:00,4,,,,6.7,0,,,,6.9,ñkñkêº,
1986/1/2 19:00,,,,,,0,,,,,,
1986/1/2 20:00,,,,,,0,,,,,,
1986/1/2 21:00,0+,,,,4.6,0,,,,3.4,ñkêº,
1986/1/2 22:00,,,,,,0,,,,,,
1986/1/2 23:00,,,,,,0,,,,,,
1986/1/3 0:00,0,,,,3.5,0,,,,3.2,ñkñkêº,
1987/1/2 1:00,,,,,,0,,,,,,
1987/1/2 2:00,,,,,,0,,,,,,
1987/1/2 3:00,10-,,,,3.9,0,,,,6.4,ñkñkêº,
1987/1/2 4:00,,,,,,0,,,,,,
1987/1/2 5:00,,,,,,0,,,,,,
1987/1/2 6:00,10-,,,,2.8,0,,,,4.9,ñk,
1987/1/2 7:00,,,,,,0,,,,,,
1987/1/2 8:00,,,,,,0,,,,,,
1987/1/2 9:00,10-,,,,2.9,0,,,,2.7,ñkìå,
1987/1/2 10:00,,,,,,0,,,,,,
1987/1/2 11:00,,,,,,0,,,,,,
1987/1/2 12:00,10,,,,4.2,0,,,,2.3,ñkìå,
1987/1/2 13:00,,,,,,0,,,,,,
1987/1/2 14:00,,,,,,0,,,,,,
1987/1/2 15:00,10,,,,4.6,0,,,,2.5,ñkñkìå,
1987/1/2 16:00,,,,,,0,,,,,,
1987/1/2 17:00,,,,,,0,,,,,,
1987/1/2 18:00,10,,,,2,0,,,,4.4,ñkñkêº,
1987/1/2 19:00,,,,,,0.5,,,,,,
1987/1/2 20:00,,,,,,1,,,,,,
1987/1/2 21:00,10,,,,1.3,0.5,,,,4.6,ñkñkêº,
1987/1/2 22:00,,,,,,0.5,,,,,,
1987/1/2 23:00,,,,,,0,,,,,,
1987/1/3 0:00,10,,,,1.4,0,,,,5.4,ñkñkêº,
1988/1/2 1:00,,,,,,0,,,,,,
1988/1/2 2:00,,,,,,0,,,,,,
1988/1/2 3:00,8,,,,5,0,,,,3.8,ñkñkêº,
1988/1/2 4:00,,,,,,0,,,,,,
1988/1/2 5:00,,,,,,0,,,,,,
1988/1/2 6:00,7,,,,3.8,0,,,,1.7,ñkñkêº,
1988/1/2 7:00,,,,,,0,,,,,,
1988/1/2 8:00,,,,,,0,,,,,,
1988/1/2 9:00,10-,,,,5.3,0,,,,0.3,êºñkêº,
1988/1/2 10:00,,,,,,0,,,,,,
1988/1/2 11:00,,,,,,0,,,,,,
1988/1/2 12:00,10-,,,,11.1,0,,,,0.4,êºñkêº,
1988/1/2 13:00,,,,,,0,,,,,,
1988/1/2 14:00,,,,,,0,,,,,,
1988/1/2 15:00,8,,,,13.3,0,,,,1.4,ìåìÏìå,
1988/1/2 16:00,,,,,,0,,,,,,
1988/1/2 17:00,,,,,,0,,,,,,
1988/1/2 18:00,10-,,,,12.5,0,,,,2.1,ìåñkìå,
1988/1/2 19:00,,,,,,0,,,,,,
1988/1/2 20:00,,,,,,0,,,,,,
1988/1/2 21:00,10-,,,,10.1,0,,,,2.4,ñkñkêº,
1988/1/2 22:00,,,,,,0,,,,,,
1988/1/2 23:00,,,,,,0,,,,,,
1988/1/3 0:00,10,,,,10.1,0,,,,3.8,ñk,
1989/1/2 1:00,,,,,,0,,,,,,
1989/1/2 2:00,,,,,,0,,,,,,
1989/1/2 3:00,0,,,,7.4,0,,,,5.3,ñkñkêº,
1989/1/2 4:00,,,,,,0,,,,,,
1989/1/2 5:00,,,,,,0,,,,,,
1989/1/2 6:00,0,,,,5.2,0,,,,3.2,ñkêº,
1989/1/2 7:00,,,,,,0,,,,,,
1989/1/2 8:00,,,,,,0,,,,,,
1989/1/2 9:00,0,,,,7.8,0,,,,1.2,ñkñkêº,
1989/1/2 10:00,,,,,,0,,,,,,
1989/1/2 11:00,,,,,,0,,,,,,
1989/1/2 12:00,6,,,,10.9,0,,,,1.2,ñkêº,
1989/1/2 13:00,,,,,,0,,,,,,
1989/1/2 14:00,,,,,,0,,,,,,
1989/1/2 15:00,0+,,,,12,0,,,,2.6,ìÏìÏìå,
1989/1/2 16:00,,,,,,0,,,,,,
1989/1/2 17:00,,,,,,0,,,,,,
1989/1/2 18:00,0,,,,13.1,0,,,,5.9,ìÏ,
1989/1/2 19:00,,,,,,0,,,,,,
1989/1/2 20:00,,,,,,0,,,,,,
1989/1/2 21:00,2,,,,11.8,0,,,,2.3,ìÏêº,
1989/1/2 22:00,,,,,,0,,,,,,
1989/1/2 23:00,,,,,,0,,,,,,
1989/1/3 0:00,2,,,,6.4,0,,,,2.3,ñkñkêº,
1990/1/2 1:00,,,,,2.6,0,,,,2.1,êºìÏêº,
1990/1/2 2:00,,,,,1.6,0,,,,1.1,ñkêº,
1990/1/2 3:00,0+,1,30,,2.6,0,,,,2.3,ñkñkêº,
1990/1/2 4:00,,,,,3.5,0,,,,3.7,ñkñkêº,
1990/1/2 5:00,,,,,2.6,0,,,,3.3,ñkñkêº,
1990/1/2 6:00,0+,1,30,,1.7,0,,,,1.7,êº,
1990/1/2 7:00,,,,0,1.7,0,,,0,1.1,ñkñkêº,
1990/1/2 8:00,,,,0.24,2.7,0,,,0.9,1.7,ñkñkêº,
1990/1/2 9:00,0+,1,50,0.76,3.1,0,,0,1,1.6,ñkñkêº,
1990/1/2 10:00,,,,1.26,4.8,0,,,1,2.7,ñk,
1990/1/2 11:00,,,,1.63,5.7,0,,,1,2.2,ñkñkêº,
1990/1/2 12:00,1,1,20,1.7,6.9,0,,,1,1.2,ñk,
1990/1/2 13:00,,,,1.74,9,0,,,1,1.4,ìÏìÏìå,
1990/1/2 14:00,,,,1.45,8.6,0,,,1,1.5,ìåìÏìå,
1990/1/2 15:00,4,2,20,1.01,8.8,0,,0,1,3.1,ìåìÏìå,
1990/1/2 16:00,,,,0.45,8.7,0,,,1,2.8,ìÏìå,
1990/1/2 17:00,,,,0.04,8.9,0,,,0.2,2.2,ìåìÏìå,
1990/1/2 18:00,4,2,20,0,8.4,0,,,,4.7,ìåìÏìå,
1990/1/2 19:00,,,,,8.4,0,,,,2.5,ìÏìå,
1990/1/2 20:00,,,,,8,0,,,,2.7,ìåìÏìå,
1990/1/2 21:00,10-,4,20,,7.6,0,,0,,1.8,ñkìå,
1990/1/2 22:00,,,,,6.4,0,,,,3.1,ñkñkêº,
1990/1/2 23:00,,,,,5.4,0,,,,3.7,ñkñkêº,
1990/1/3 0:00,10-,3,10,,4.7,0,,,,3.5,ñkñkêº,
1991/1/2 1:00,,,,,5.2,0,,,,2.5,êºìÏêº,
