date,cloud,weather,visibility_km,solar,temperature_c,rainfall_mm,snowfall_cm,snowdepth_cm,sunshine_hours,windspeed_ms,wind_direction
1985/3/9 1:00,,,,,,1,,,,,
1985/3/9 2:00,,,,,,2.5,,,,,
1985/3/9 3:00,10,,,,14.3,5,,,,5,êº
1985/3/9 4:00,,,,,,5.5,,,,,
1985/3/9 5:00,,,,,,4.5,,,,,
1985/3/9 6:00,10,,,,11.3,7,,,,4.5,ñkìå
1985/3/9 7:00,,,,,,5,,,,,
1985/3/9 8:00,,,,,,5,,,,,
1985/3/9 9:00,10,,,,8.9,4.5,,,,3.2,ñkñkêº
1985/3/9 10:00,,,,,,2.5,,,,,
1985/3/9 11:00,,,,,,1,,,,,
1985/3/9 12:00,10,,,,8.3,0,,,,3.9,ñkñkêº
1985/3/9 13:00,,,,,,0,,,,,
1985/3/9 14:00,,,,,,0,,,,,
1985/3/9 15:00,10-,,,,10,0,,,,3.4,ñkñkêº
1985/3/9 16:00,,,,,,0,,,,,
1985/3/9 17:00,,,,,,0,,,,,
1985/3/9 18:00,10-,,,,9.8,0,,,,3.4,ñkñkêº
1985/3/9 19:00,,,,,,0,,,,,
1985/3/9 20:00,,,,,,0,,,,,
1985/3/9 21:00,3,,,,8.3,0,,,,1.9,ñkñkêº
1985/3/9 22:00,,,,,,0,,,,,
1985/3/9 23:00,,,,,,0,,,,,
1985/3/10 0:00,9,,,,7.4,0,,,,0.5,ìåñkìå
1986/3/9 1:00,,,,,,0,,,,,
1986/3/9 2:00,,,,,,0,,,,,
1986/3/9 3:00,2,,,,5.9,0,,,,2.7,ñkñkìå
1986/3/9 4:00,,,,,,0,,,,,
1986/3/9 5:00,,,,,,0,,,,,
1986/3/9 6:00,0+,,,,5.1,0,,,,2.7,ñkñkìå
1986/3/9 7:00,,,,,,0,,,,,
1986/3/9 8:00,,,,,,0,,,,,
1986/3/9 9:00,2,,,,10.2,0,,,,2.9,ñkìå
1986/3/9 10:00,,,,,,0,,,,,
1986/3/9 11:00,,,,,,0,,,,,
1986/3/9 12:00,4,,,,16.8,0,,,,1.2,ñkêº
1986/3/9 13:00,,,,,,0,,,,,
1986/3/9 14:00,,,,,,0,,,,,
1986/3/9 15:00,2,,,,17.3,0,,,,6.8,êºìÏêº
1986/3/9 16:00,,,,,,0,,,,,
1986/3/9 17:00,,,,,,0,,,,,
1986/3/9 18:00,7,,,,15.7,0,,,,3.7,êºìÏêº
1986/3/9 19:00,,,,,,0,,,,,
1986/3/9 20:00,,,,,,0,,,,,
1986/3/9 21:00,2,,,,13.2,0,,,,0.1,ê√â∏
1986/3/9 22:00,,,,,,0,,,,,
1986/3/9 23:00,,,,,,0,,,,,
1986/3/10 0:00,10-,,,,12.5,0,,,,2,ñkìå
1987/3/9 1:00,,,,,,0,,,,,
1987/3/9 2:00,,,,,,0,,,,,
1987/3/9 3:00,10,,,,3.7,0,,,,1,ñkñkìå
1987/3/9 4:00,,,,,,0,,,,,
1987/3/9 5:00,,,,,,1,,,,,
1987/3/9 6:00,10,,,,1.7,1,,,,0.7,ìåñkìå
1987/3/9 7:00,,,,,,0,,,,,
1987/3/9 8:00,,,,,,0,,,,,
1987/3/9 9:00,10,,,,4.4,0,,,,0.8,ìåñkìå
