date,cloud,weather,visibility_km,solar,temperature_c,rainfall_mm,snowfall_cm,snowdepth_cm,sunshine_hours,windspeed_ms,wind_direction
1985/4/2 1:00,,,,,,0,,,,,
1985/4/2 2:00,,,,,,0,,,,,
1985/4/2 3:00,0,,,,5,0,,,,3.3,ñkñkìå
1985/4/2 4:00,,,,,,0,,,,,
1985/4/2 5:00,,,,,,0,,,,,
1985/4/2 6:00,7,,,,4.2,0,,,,2.8,ñkñkìå
1985/4/2 7:00,,,,,,0,,,,,
1985/4/2 8:00,,,,,,0,,,,,
1985/4/2 9:00,10,,,,8.7,0,,,,1.1,ñkìå
1985/4/2 10:00,,,,,,0,,,,,
1985/4/2 11:00,,,,,,0,,,,,
1985/4/2 12:00,10-,,,,14.8,0,,,,1.5,ñkñkìå
1985/4/2 13:00,,,,,,0,,,,,
1985/4/2 14:00,,,,,,0,,,,,
1985/4/2 15:00,10-,,,,15.2,0,,,,4.9,êº
1985/4/2 16:00,,,,,,0,,,,,
1985/4/2 17:00,,,,,,0,,,,,
1985/4/2 18:00,10,,,,14.4,0,,,,2.9,ìÏêº
1985/4/2 19:00,,,,,,0,,,,,
1985/4/2 20:00,,,,,,0,,,,,
1985/4/2 21:00,10,,,,13.8,0,,,,2.8,ìåìÏìå
1985/4/2 22:00,,,,,,0,,,,,
1985/4/2 23:00,,,,,,0,,,,,
1985/4/3 0:00,10-,,,,12.2,0,,,,3,ìåñkìå
1986/4/2 1:00,,,,,,0,,,,,
1986/4/2 2:00,,,,,,0,,,,,
1986/4/2 3:00,0,,,,6.2,0,,,,2.2,ñkñkìå
1986/4/2 4:00,,,,,,0,,,,,
1986/4/2 5:00,,,,,,0,,,,,
1986/4/2 6:00,1,,,,4.8,0,,,,1.7,ñkñkìå
1986/4/2 7:00,,,,,,0,,,,,
1986/4/2 8:00,,,,,,0,,,,,
1986/4/2 9:00,0,,,,10.8,0,,,,0.6,ìÏìå
1986/4/2 10:00,,,,,,0,,,,,
1986/4/2 11:00,,,,,,0,,,,,
1986/4/2 12:00,0,,,,15,0,,,,4.2,ìÏêº
1986/4/2 13:00,,,,,,0,,,,,
1986/4/2 14:00,,,,,,0,,,,,
1986/4/2 15:00,0+,,,,16.7,0,,,,4.8,ìÏêº
1986/4/2 16:00,,,,,,0,,,,,
1986/4/2 17:00,,,,,,0,,,,,
1986/4/2 18:00,4,,,,15.9,0,,,,1.2,êºñkêº
1986/4/2 19:00,,,,,,0,,,,,
1986/4/2 20:00,,,,,,0,,,,,
1986/4/2 21:00,0,,,,12.9,0,,,,4.3,ñkìå
1986/4/2 22:00,,,,,,0,,,,,
1986/4/2 23:00,,,,,,0,,,,,
1986/4/3 0:00,9,,,,10.1,0,,,,4.4,ìåñkìå
1987/4/2 1:00,,,,,,0,,,,,
1987/4/2 2:00,,,,,,0,,,,,
1987/4/2 3:00,10,,,,6,0,,,,3.9,ñkìå
1987/4/2 4:00,,,,,,0,,,,,
1987/4/2 5:00,,,,,,0,,,,,
1987/4/2 6:00,10,,,,5.9,0,,,,3.9,ñkìå
1987/4/2 7:00,,,,,,0,,,,,
1987/4/2 8:00,,,,,,0,,,,,
1987/4/2 9:00,10,,,,6.6,0,,,,0.4,ìå
1987/4/2 10:00,,,,,,0,,,,,
1987/4/2 11:00,,,,,,0.5,,,,,
1987/4/2 12:00,10,,,,7.6,0,,,,1.6,ñkìå
1987/4/2 13:00,,,,,,0,,,,,
1987/4/2 14:00,,,,,,0,,,,,
1987/4/2 15:00,10,,,,7.5,0,,,,1.4,ìåñkìå
1987/4/2 16:00,,,,,,0.5,,,,,
1987/4/2 17:00,,,,,,0,,,,,
