date,cloud,weather,visibility_km,solar,temperature_c,rainfall_mm,snowfall_cm,snowdepth_cm,sunshine_hours,windspeed_ms,wind_direction,
1989/3/1 15:00,10,,,,13.8,0,,,,2.6,ñk,
1989/3/1 16:00,,,,,,0.5,,,,,,
1989/3/1 17:00,,,,,,0,,,,,,
1989/3/1 18:00,10-,,,,13.2,0,,,,7.1,ñkñkêº,
1989/3/1 19:00,,,,,,0,,,,,,
1989/3/1 20:00,,,,,,0,,,,,,
1989/3/1 21:00,7,,,,10,0,,,,8.9,ñkñkêº,
1989/3/1 22:00,,,,,,0,,,,,,
1989/3/1 23:00,,,,,,0,,,,,,
1989/3/2 0:00,0,,,,7.2,0,,,,6.6,ñk,
1990/3/1 1:00,,,,,7.4,0,,,,2.6,ñk,
1990/3/1 2:00,,,,,6.4,0,,,,2.8,ñk,
1990/3/1 3:00,8,2,10,,6.1,0,,,,3,ñk,
1990/3/1 4:00,,,,,5.9,0,,,,3.6,ñk,
1990/3/1 5:00,,,,,5.8,0,,,,3.1,ñk,
1990/3/1 6:00,9,4,10,0,5.7,0,,,,3.3,ñkñkêº,
1990/3/1 7:00,,,,0.02,5.6,0,,,0,3.5,ñkñkêº,
1990/3/1 8:00,,,,0.18,6.3,0,,,0,4.9,ñkñkêº,
1990/3/1 9:00,10,4,6,0.34,6.9,0,,0,0,4.7,ñkñkêº,
1990/3/1 10:00,,,,0.65,7.8,0,,,0,4.8,ñkñkêº,
1990/3/1 11:00,,,,0.44,8.2,0,,,0,4.2,ñkñkêº,
1990/3/1 12:00,10,4,7,0.59,9,0,,,0,4.8,ñkñkêº,
1990/3/1 13:00,,,,0.6,9.4,0,,,0,5,ñkñkêº,
1990/3/1 14:00,,,,0.24,9.3,0,,,0,5.1,ñkñkêº,
1990/3/1 15:00,10,4,7,0.21,9.6,0,,0,0,4.6,ñkñkêº,
1990/3/1 16:00,,,,0.14,9.2,0,,,0,5.3,ñk,
1990/3/1 17:00,,,,0.05,8.6,0,,,0,5.1,ñkñkêº,
1990/3/1 18:00,10,10,4,0,8.4,0,,,0,5.6,ñkñkêº,
1990/3/1 19:00,,,,0,8.6,0,,,,5,ñkñkêº,
1990/3/1 20:00,,,,,7.8,0.5,,,,4.2,ñkñkêº,
